Category,Score,Tweet
kill,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
death,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
violence,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
fight,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
war,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
pain,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
negative_emotion,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
weapon,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
money,0.1111111111111111,RT @ehpabrussels: @REScoopEU @WIRED $q$either humans stop causing climate change or climate change will stop humans.$q$ @COP21  #cop21
cold,0.1111111111111111,RT @ehpabrussels: @REScoopEU @WIRED $q$either humans stop causing climate change or climate change will stop humans.$q$ @COP21  #cop21
driving,0.1111111111111111,RT @ehpabrussels: @REScoopEU @WIRED $q$either humans stop causing climate change or climate change will stop humans.$q$ @COP21  #cop21
weather,0.1111111111111111,RT @ehpabrussels: @REScoopEU @WIRED $q$either humans stop causing climate change or climate change will stop humans.$q$ @COP21  #cop21
warmth,0.1111111111111111,RT @ehpabrussels: @REScoopEU @WIRED $q$either humans stop causing climate change or climate change will stop humans.$q$ @COP21  #cop21
negative_emotion,0.1111111111111111,RT @ehpabrussels: @REScoopEU @WIRED $q$either humans stop causing climate change or climate change will stop humans.$q$ @COP21  #cop21
cold,0.1,Pakistan committed to tackling issue of climate change: PM - PM Abbasi addresses conference on climate change in Isâ€¦ https://t.co/UXfaW7zb3g
warmth,0.1,Pakistan committed to tackling issue of climate change: PM - PM Abbasi addresses conference on climate change in Isâ€¦ https://t.co/UXfaW7zb3g
weather,0.1,Pakistan committed to tackling issue of climate change: PM - PM Abbasi addresses conference on climate change in Isâ€¦ https://t.co/UXfaW7zb3g
office,0.05,Pakistan committed to tackling issue of climate change: PM - PM Abbasi addresses conference on climate change in Isâ€¦ https://t.co/UXfaW7zb3g
money,0.05,Pakistan committed to tackling issue of climate change: PM - PM Abbasi addresses conference on climate change in Isâ€¦ https://t.co/UXfaW7zb3g
business,0.05,Pakistan committed to tackling issue of climate change: PM - PM Abbasi addresses conference on climate change in Isâ€¦ https://t.co/UXfaW7zb3g
dispute,0.05,Pakistan committed to tackling issue of climate change: PM - PM Abbasi addresses conference on climate change in Isâ€¦ https://t.co/UXfaW7zb3g
meeting,0.05,Pakistan committed to tackling issue of climate change: PM - PM Abbasi addresses conference on climate change in Isâ€¦ https://t.co/UXfaW7zb3g
work,0.05,Pakistan committed to tackling issue of climate change: PM - PM Abbasi addresses conference on climate change in Isâ€¦ https://t.co/UXfaW7zb3g
deception,0.08,"Trump just had to do it...stared at eclipse without glasses. Scientists said NOT to , but they believe in climate change so must be false"
money,0.04,"Trump just had to do it...stared at eclipse without glasses. Scientists said NOT to , but they believe in climate change so must be false"
cold,0.04,"Trump just had to do it...stared at eclipse without glasses. Scientists said NOT to , but they believe in climate change so must be false"
divine,0.04,"Trump just had to do it...stared at eclipse without glasses. Scientists said NOT to , but they believe in climate change so must be false"
weather,0.04,"Trump just had to do it...stared at eclipse without glasses. Scientists said NOT to , but they believe in climate change so must be false"
warmth,0.04,"Trump just had to do it...stared at eclipse without glasses. Scientists said NOT to , but they believe in climate change so must be false"
warmth,0.08695652173913043,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
cold,0.043478260869565216,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
money,0.043478260869565216,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
beach,0.043478260869565216,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
water,0.043478260869565216,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
swimming,0.043478260869565216,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
violence,0.043478260869565216,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
weather,0.043478260869565216,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
ship,0.043478260869565216,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
breaking,0.043478260869565216,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
ocean,0.043478260869565216,RT @tippy_top: The East Australian Current is responding to climate change by punching further south. This has brought warming to the sea bâ€¦
money,0.1,@BGPolitics Ever consider the fact that money is imaginary but climate change is real? It puts this proposal in perspective.
wedding,0.05,@BGPolitics Ever consider the fact that money is imaginary but climate change is real? It puts this proposal in perspective.
cold,0.05,@BGPolitics Ever consider the fact that money is imaginary but climate change is real? It puts this proposal in perspective.
dispute,0.05,@BGPolitics Ever consider the fact that money is imaginary but climate change is real? It puts this proposal in perspective.
banking,0.05,@BGPolitics Ever consider the fact that money is imaginary but climate change is real? It puts this proposal in perspective.
communication,0.05,@BGPolitics Ever consider the fact that money is imaginary but climate change is real? It puts this proposal in perspective.
weather,0.05,@BGPolitics Ever consider the fact that money is imaginary but climate change is real? It puts this proposal in perspective.
valuable,0.05,@BGPolitics Ever consider the fact that money is imaginary but climate change is real? It puts this proposal in perspective.
warmth,0.05,@BGPolitics Ever consider the fact that money is imaginary but climate change is real? It puts this proposal in perspective.
